Journal;Jour;Compte;Libelle;Debit;Credit
VE;25/04/2025;580CB;CB;96,16;
VE;25/04/2025;530;Especes;82,32;
VE;26/04/2025;7071;Vente 5,5%;;171,90
VE;26/04/2025;4457111;TVA 5,5%;;9,45
VE;26/04/2025;7072;Vente 20%;;31,31
VE;26/04/2025;445711;TVA 20%;;6,26
VE;26/04/2025;580CB;CB;178,69;
VE;26/04/2025;530;Especes;40,23;
VE;29/04/2025;7071;Vente 5,5%;;234,46
VE;29/04/2025;4457111;TVA 5,5%;;12,89
VE;29/04/2025;7072;Vente 20%;;23,17
VE;29/04/2025;445711;TVA 20%;;4,64
VE;29/04/2025;580CB;CB;234,00;
VE;29/04/2025;530;Especes;41,16;
VE;30/04/2025;7071;Vente 5,5%;;148,61
VE;30/04/2025;4457111;TVA 5,5%;;8,17
VE;30/04/2025;7072;Vente 20%;;85,26
VE;30/04/2025;445711;TVA 20%;;17,05
VE;30/04/2025;580CB;CB;189,03;
VE;30/04/2025;530;Especes;70,06;
