Journal;Jour;Compte;Libelle;Debit;Credit
BP;24/02/2025;5121;CB;120,99;
BP;24/02/2025;580CB;CB;;       151,91
BP;24/02/2025;627;CB;    0,53;
BP;24/02/2025;5121;CB;151,38;
BP;24/02/2025;580CB;CB;;       205,26
BP;24/02/2025;627;CB;    0,72;
BP;24/02/2025;5121;CB;204,54;
BP;24/02/2025;401DIVERS;PUB FACEBOOK;2,00;
BP;24/02/2025;5121;PUB FACEBOOK;;2,00
BP;24/02/2025;401DIVERS;PUB FACEBOOK;2,00;
BP;24/02/2025;5121;PUB FACEBOOK;;2,00
BP;24/02/2025;401DIVERS;PUB FACEBOOK;2,00;
BP;24/02/2025;5121;PUB FACEBOOK;;2,00
BP;24/02/2025;401DIVERS;PUB FACEBOOK;2,00;
BP;24/02/2025;5121;PUB FACEBOOK;;2,00
BP;24/02/2025;401DIVERS;PUB FACEBOOK;2,00;
BP;24/02/2025;5121;PUB FACEBOOK;;2,00
BP;24/02/2025;401DIVERS;PUB FACEBOOK;2,00;
BP;24/02/2025;5121;PUB FACEBOOK;;2,00
BP;25/02/2025;580;Versement especes;;790,00
BP;25/02/2025;5121;Versement especes;790,00;
BP;25/02/2025;401DIVERS;PUB FACEBOOK;3,00;
BP;25/02/2025;5121;PUB FACEBOOK;;3,00
BP;25/02/2025;627;Commission LCR;31,00;
BP;25/02/2025;5121;Commission LCR;;31,00
BP;25/02/2025;401DIVERS;Prelevement;33,60;
BP;25/02/2025;5121;Prelevement;;33,60
BP;26/02/2025;580CB;CB;;        32,27
BP;26/02/2025;627;CB;    0,11;
BP;26/02/2025;5121;CB;32,16;
BP;26/02/2025;580CB;CB;;       176,07
BP;26/02/2025;627;CB;    0,62;
BP;26/02/2025;5121;CB;175,45;
BP;26/02/2025;401DIVERS;PUB FACEBOOK;5,00;
BP;26/02/2025;5121;PUB FACEBOOK;;5,00
BP;27/02/2025;580CB;CB;;        77,02
BP;27/02/2025;627;CB;    0,27;
BP;27/02/2025;5121;CB;76,75;
BP;27/02/2025;580CB;CB;;        94,98
BP;27/02/2025;627;CB;    0,33;
BP;27/02/2025;5121;CB;94,65;
BP;27/02/2025;401EVOOTRADE;EVOOTRADE;641,43;
BP;27/02/2025;5121;EVOOTRADE;;641,43
BP;28/02/2025;580CB;CB;;       125,44
BP;28/02/2025;627;CB;    0,44;
BP;28/02/2025;5121;CB;125,00;
BP;28/02/2025;401DIVERS;PUB FACEBOOK;8,00;
BP;28/02/2025;5121;PUB FACEBOOK;;8,00
BP;28/02/2025;627;Commission LCR;16,00;
BP;28/02/2025;5121;Commission LCR;;16,00
