Journal;Jour;Compte;Libelle;Debit;Credit
BP;24/02/2025;5121;CB;151,38;
BP;24/02/2025;580CB;CB;;205,26
BP;24/02/2025;627;CB;0,72;
BP;24/02/2025;5121;CB;204,54;
BP;24/02/2025;401FACEBOOK;PUB FACEBOOK;2;
BP;24/02/2025;5121;PUB FACEBOOK;;2
BP;24/02/2025;401FACEBOOK;PUB FACEBOOK;2;
BP;24/02/2025;5121;PUB FACEBOOK;;2
BP;24/02/2025;401FACEBOOK;PUB FACEBOOK;2;
BP;24/02/2025;5121;PUB FACEBOOK;;2
BP;24/02/2025;401FACEBOOK;PUB FACEBOOK;2;
BP;24/02/2025;5121;PUB FACEBOOK;;2
BP;24/02/2025;401FACEBOOK;PUB FACEBOOK;2;
BP;24/02/2025;5121;PUB FACEBOOK;;2
BP;24/02/2025;401FACEBOOK;PUB FACEBOOK;2;
BP;24/02/2025;5121;PUB FACEBOOK;;2
BP;25/02/2025;580;Versement especes;;790
BP;25/02/2025;5121;Versement especes;790;
BP;25/02/2025;401FACEBOOK;PUB FACEBOOK;3;
BP;25/02/2025;5121;PUB FACEBOOK;;3
BP;25/02/2025;627;Commission LCR;31;
BP;25/02/2025;5121;Commission LCR;;31
BP;25/02/2025;401IONOS;IONOS;33,6;
BP;25/02/2025;5121;IONOS;;33,6
BP;26/02/2025;580CB;CB;;32,27
BP;26/02/2025;627;CB;0,11;
BP;26/02/2025;5121;CB;32,16;
BP;26/02/2025;580CB;CB;;176,07
BP;26/02/2025;627;CB;0,62;
BP;26/02/2025;5121;CB;175,45;
BP;26/02/2025;401FACEBOOK;PUB FACEBOOK;5;
BP;26/02/2025;5121;PUB FACEBOOK;;5
BP;27/02/2025;580CB;CB;;77,02
BP;27/02/2025;627;CB;0,27;
BP;27/02/2025;5121;CB;76,75;
BP;27/02/2025;580CB;CB;;94,98
BP;27/02/2025;627;CB;0,33;
BP;27/02/2025;5121;CB;94,65;
BP;27/02/2025;401EVOOTRADE;EVOOTRADE;641,43;
BP;27/02/2025;5121;EVOOTRADE;;641,43
BP;28/02/2025;580CB;CB;;125,44
BP;28/02/2025;627;CB;0,44;
BP;28/02/2025;5121;CB;125;
BP;28/02/2025;401FACEBOOK;PUB FACEBOOK;8;
BP;28/02/2025;5121;PUB FACEBOOK;;8
BP;28/02/2025;627;COM LCR;16;
BP;28/02/2025;5121;COM LCR;;16
